"Not paid ",false,"             Who We are: PowerHouse Growers is a multimedia platform connecting individuals and businesses who are looking for, or interested in finding tools and resources to sustainably incorporate urban agricul&#8230;         ","Virtual ","             Application Deadline:   Available Year-round 
                     ",/computer-science/Web-DeveloperProgrammer-I8942224,"Web Developer/Programmer Job at PowerHouse Growers in Virtual","Part Time"
"Not paid ",false,"             Hit Records Worldwide Music Group: . . . Hit Records Worldwide (please see http://www.hrwmusicgroup.com) We need to build a website for users registration, login and edit profile and store the informa&#8230;         ","Virtual ","             Application Deadline:   6/26/2015 
                     ",/computer-science/Computer-Science-Developer-I6480382,"Web Developer Job at Hit Records Worldwide in Virtual","Part Time"
"Paid Opportunity",false,"             CAI is looking for Computer Science Interns: CANDIDATES HAVE TO BE LOCAL TO ALLENTOWN, PA. YEAR ROUND. Can work/intern more during the summer and school breaks. Very flexible with school schedules. In&#8230;         ","Allentown, PA ","             Application Deadline:   Available Year-round 
                     ",/computer-science/Computer-Science-Internships-I7367496,"Computer Science Internships Job at Computer Aid Inc in Allentown, PA","Part Time"
"Paid Opportunity",false,"             Meijun is a software development agency that creates and delivers custom software solutions. We're a fast-paced company with a lot of projects on our plate, and we need a talented web developer to joi&#8230;         ","San Diego, CA ","             Application Deadline:   Available Year-round 
                     ",/computer-science/Web-Developer-I8690276,"Web Developer Job at Meijun in San Diego, CA","Full Time"
"Not paid ",false,"             As a web developer you will be responsible for recommending, designing, and implementing front-end web programs. These may include the development of: -an online marketplace system including transacti&#8230;         ","Virtual ","             Application Deadline:   Available Year-round 
                     ",/computer-science/Web-Developer-Programmer-I694712,"Web Developer/ Programmer Job at T&amp;K, LLC in Virtual","Full Time"
"Not paid ",false,"             We are a young and profitable startup looking to shake things up in the user experience world. We want to create and are creating amazing consumer facing experiences that no one has even thought of ye&#8230;         ","Virtual ","             Application Deadline:   Available Year-round 
                     ",/computer-science/Web-Developer-I4668117,"Web Developer Job at Dynamic in Virtual","Part Time"
"Paid Opportunity",true,"             i-Mazing Solutions, Inc., with 65 years of combined technology consulting experience, is a small business located in Virginia Beach, VA. Founded in 2002, i-Mazing Solutions has provided financial and &#8230;         ","Virginia Beach, VA ","             Application Deadline:   Available Year-round 
                     ",/computer-science/Web-Developer-Paid-Internship,"Web Developer Paid Internship Job at I-Mazing Solutions in Virginia Beach, VA","Part Time"
"Paid Opportunity",false,"             Sass provider in need of a talented Jr. Web Developer.         ","Chicago, IL ","             Application Deadline:   7/15/2015 
                     ",/computer-science/Web-Developer-I2928700,"Web Developer Job at FLW International LLC in Chicago, IL","Full Time"
"Not paid ",false,"             BrandNex.com is one of the largest factory suppliers of promotional items. We custom imprint on a variety of promotional products such as custom wristbands, lanyards, buttons, tattoos, stickers, t-shi&#8230;         ","Houston, TX ","             Application Deadline:   Available Year-round 
                     ",/computer-science/WebSoftware-Developer-InternshipContract,"Web/Software Developer Internship/Contract Job at BrandNex.com in Houston, TX","Full Time"
"Paid Opportunity",false,"             Our start-up, Nibella, is an e-commerce platform that supports, sells, and markets eco-friendly and green lifestyle products and we are looking for a motivated computer science major student for the p&#8230;         ","Virtual ","             Application Deadline:   Available Year-round 
                     ",/computer-science/Web-Developer-I1951558,"Web Developer Job at Nibella in Virtual","Part Time"
"Not paid ",false,"             Axle Informatics is looking for a quick learning, detail-oriented CS student to be the next intern in a high-performing, fast-paced IT department at that offers innovative services to the top medical &#8230;         ","Rockville, MD ","             Application Deadline:   Available Year-round 
                     ",/computer-science/Computer-Science-Internship-Program,"Computer Science Internship Program Job at Axle Informatics LLC in Rockville, MD","Part Time"
